unique_id,Painting,"On a scale of 1–10, how intense is the emotion conveyed by the artwork?",Describe how this painting makes you feel.,This art piece makes me feel sombre.,This art piece makes me feel content.,This art piece makes me feel calm.,This art piece makes me feel uneasy.,How many prominent colours do you notice in this painting?,How many objects caught your eye in the painting?,How much (in Canadian dollars) would you be willing to pay for this painting?,"If you could purchase this painting, which room would you put that painting in?","If you could view this art in person, who would you want to view it with?",What season does this art piece remind you of?,"If this painting was a food, what would be?",Imagine a soundtrack for this painting. Describe that soundtrack without naming any objects in the painting.
86,The Persistence of Memory,4,"This painting mostly makes me feel uncomfortable and confused. It looks very strange, with everything warped and distorted, especially the way time seems to be shown. It feels like it is trying to say something about time or memory, but I’m not sure what exactly. The colours are quite dark and heavy, and the whole scene feels oddly still in a way that is not peaceful, more like a quiet that makes me uneasy. Overall, I don’t really like it and it does not give me any pleasant emotion.",4 - Agree,1 - Strongly disagree,2 - Disagree,5 - Strongly agree,6,6,0 – I personally would not buy this painting.,Office,"Friends,Family members",Summer,"If this painting was a food, it would be something unpleasant and hard to swallow. I imagine it as a dish with a strange, almost rotten taste, where the flavours don’t match and make you feel uneasy as you eat it. The texture would be soft and limp in a way that feels wrong, and there might be a bitter or metallic aftertaste that lingers in your mouth. It is not comforting or satisfying at all – instead, it would be the kind of food that makes you lose your appetite and feel slightly disturbed, even after you stop eating.","The soundtrack would be slow and minimal, with long, low notes that seem to hang in the air. There would be a soft, dull rhythm in the background, but nothing sharp or loud. The music would feel slightly out of tune or warped at times, creating a strange, heavy atmosphere. It would sound quiet on the surface, but underneath there would be a subtle tension that makes me feel a little uneasy."
87,The Persistence of Memory,6,"It makes me feel unsettled yet curious, like everything has a time and things are going to die. There’s a sense of distortion that pulls me in and makes me reflect on how fragile and strange reality can feel, just like the dripping clock. Also in the left corner there is a slab (looks like a mirror), which makes me question why is it there and what is the painter trying to depict here.",3 - Neutral/Unsure,2 - Disagree,2 - Disagree,3 - Neutral/Unsure,3,4,100,Bathroom,"Friends,Strangers,By yourself",Fall,m&m cookies,"Slow, echoing tones with long pauses between notes, creating a stretched, surreal atmosphere that feels slightly uncomfortable, like water waves with no sound, but deeply immersive."
88,The Persistence of Memory,8,alone and alarmed. ,4 - Agree,2 - Disagree,1 - Strongly disagree,4 - Agree,4,5,100,Office,Family members,Winter,kiwi,desolate harrowing note low tempo with fluid melodies slowly morphing into structured high tempo base and drums and back into mellow fluid but still odd melodies. 
89,The Persistence of Memory,8,The passaway of time.,3 - Neutral/Unsure,3 - Neutral/Unsure,3 - Neutral/Unsure,3 - Neutral/Unsure,6,3,"1,000,000",Living room,"Friends,Family members",Fall,Pizza,The soundtrack will be very serene and tranquil.
90,The Persistence of Memory,2,Weird cause there's hard things like watches that are soft and flimsy,5 - Strongly agree,2 - Disagree,2 - Disagree,4 - Agree,5,4,5,Bathroom,By yourself,Fall,asparagus,It would be uneasy sounds of nature
91,The Persistence of Memory,9,"Nostaligic, empty, floating in time.",4 - Agree,2 - Disagree,3 - Neutral/Unsure,4 - Agree,6,7,100000 CAD,Bedroom,By yourself,"Summer,Fall",A homecooked meal like a stew.,"A calm, quiet piano melody. "
92,The Persistence of Memory,7,It makes me question the concept of time and the time I have wasted throughout the years,4 - Agree,2 - Disagree,4 - Agree,4 - Agree,8,9,1000,"Office,Living room",By yourself,Fall,Day old bread,Slow and quiet instrumental piece
93,The Persistence of Memory,9,"I feel disturbed. There is a lot happening in this painting. For example, why are the clocks melting? What is that red thing at the left? What is the white thing in the middle that one of the clocks is resting on? There are a lot of questions unanswered. Also, the difference between the background, which is serene and relaxing is quite stark against the objects in the foreground. I don't understand what the painting is trying to convey.",5 - Strongly agree,4 - Agree,1 - Strongly disagree,5 - Strongly agree,3,3,$0,Office,By yourself,Spring,Can of beans,"Unsettling instrumental, no lyrics, almost like horror movie music but a little more depressing than scary (not the type designed to increase your heart rate)."
94,The Persistence of Memory,6,"The painting makes me feel old and sad and uneasy and reflective about my time here on Earth. I feel sad that time never stops and it keeps on going as I am stuck and reflecting on the memories of the past and the fleeting time I have. 

 

 

 ",4 - Agree,2 - Disagree,3 - Neutral/Unsure,4 - Agree,5,5,250,Office,By yourself,Fall,dark chocolate,A slow ambient track with soft long notes and pauses between sounds. Music would feel empty with little bit of tension as if it is building up to the never ending climax. 
95,The Persistence of Memory,7,I find it slightly uncanny.,2 - Disagree,1 - Strongly disagree,2 - Disagree,4 - Agree,8,4,20,Bathroom,"Friends,Family members",Summer,expired Jell-O,"Ominous, largely monotone apart from a shrill sound in the background."
96,The Persistence of Memory,8,"anxious, sad, nostalgic",5 - Strongly agree,1 - Strongly disagree,2 - Disagree,4 - Agree,4,3,"250,000","Office,Living room",By yourself,"Fall,Winter",Juice boxes,A quiet wind sound with low piano in the background. 
97,The Persistence of Memory,7,"This painting makes me feel heat, like a day summer's day. ",4 - Agree,2 - Disagree,2 - Disagree,4 - Agree,6,4,100,Office,By yourself,Summer,Crackers with olive tapenade,"A whistling wind, a slow accordion plays a wistful tune. "
98,The Persistence of Memory,8,It makes me feel nostalgic. ,5 - Strongly agree,3 - Neutral/Unsure,4 - Agree,4 - Agree,5,6,15,Office,By yourself,Summer,grilled cheese,"a mellow, eerie tune. "
99,The Persistence of Memory,8,"Uneasy, and a little sad.",5 - Strongly agree,1 - Strongly disagree,2 - Disagree,5 - Strongly agree,4,4,50,Living room,By yourself,"Fall,Winter",Pie crust,"Solemn, slow tempo, cello as the only instrument"
100,The Persistence of Memory,8,"Melancholic, bittersweet, peaceful",4 - Agree,4 - Agree,4 - Agree,2 - Disagree,3,4,50,Office,"Friends,Family members,Coworkers/Classmates,By yourself",Fall,Blueberry,Classical piano sombre
101,The Persistence of Memory,4,"Personally, I don't see any emotion conveyed here- I googled what this painting was about and it confirmed my belief- it's not exactly trying to convey any certain emotion. Currently I am in a moody state, so I completely misinterpreted this.",4 - Agree,3 - Neutral/Unsure,4 - Agree,2 - Disagree,6,8,"I would say $1,000,000 CAD due to it's beauty, and it's historical aura.",Living room,By yourself,Fall,French Onion with cheese,"Psychedelic, slow, monotonistic, sitar, no percussion, repetitive, unfixed tempo"
102,The Persistence of Memory,8,It makes me feel existential about the passage of time. ,5 - Strongly agree,2 - Disagree,3 - Neutral/Unsure,4 - Agree,8,7,10000,Office,"Friends,By yourself",Summer,soggy waffles,"long, dragging notes, in a minor scale. "
103,The Persistence of Memory,5,"This painting makes me feel intrigued, slightly weird and uneasy. ",4 - Agree,3 - Neutral/Unsure,2 - Disagree,4 - Agree,3,4,1000000,Office,By yourself,Summer,Spaghetti,"Slow, reverb, smooth"
104,The Persistence of Memory,3,relaxed,3 - Neutral/Unsure,4 - Agree,5 - Strongly agree,2 - Disagree,7,7,100,"Living room,Dining room","Strangers,By yourself",Summer,lemon water,soft piano
105,The Persistence of Memory,3,"At first, the painting evokes a sense of confusion. As I continue to examine its details, however, I become increasingly fascinated and unsettled, especially due to the strong, striking colors used throughout the work.",3 - Neutral/Unsure,4 - Agree,2 - Disagree,4 - Agree,4,4,"1,000,000",Office,Friends,Fall,Cheese,"The soundtrack should start with silence, and then low, warm tones drift in. At the same time, in the back, sharp, metallic accents appear suddenly and fade just as fast. The same pattern repeats again and again and never stops."
106,The Persistence of Memory,8,Makes me feel very insignificant as the human-made clocks are melting while nature stands the test of time. Reminds me of how we are a victim to time.,4 - Agree,1 - Strongly disagree,2 - Disagree,4 - Agree,4,6,$30,Living room,By yourself,"Fall,Winter",It would be a dry whole-wheat sandwich.,It would be some creepy sounding classical music. 
107,The Persistence of Memory,8,The sorrow of the fleeting time and memories.,4 - Agree,2 - Disagree,2 - Disagree,5 - Strongly agree,5,4,100000,Office,By yourself,Fall,Coffee,"The soundtrack would be slow, melancholic, but grows in intensity as the music goes on, with everything coming to an end and silence for a minute."
108,The Persistence of Memory,6,The painting makes me feel about the way tie elapses with the depiction of clocks and the importance of time and enjoying the present.,2 - Disagree,3 - Neutral/Unsure,3 - Neutral/Unsure,4 - Agree,7,4,150,Office,By yourself,Summer,Pumpkin,Time by Hans Zimmer
109,The Persistence of Memory,9,This painting makes me feel uneasy because it reminds me of my own mortality,4 - Agree,2 - Disagree,2 - Disagree,5 - Strongly agree,5,7,"I have no money :(. If I did, I would pay ~5k","Living room,Dining room",Friends,Fall,chocolate chip muffin.,"slow, synth, quiet. "
110,The Persistence of Memory,9,"feeling about everything dieing, the end of world.",5 - Strongly agree,2 - Disagree,4 - Agree,3 - Neutral/Unsure,3,3,200 cad,"Living room,Dining room",By yourself,Fall,black coffee,"clock ticking, man moaning"
111,The Persistence of Memory,8,"lonely, isolated, tired",4 - Agree,2 - Disagree,2 - Disagree,5 - Strongly agree,5,6,10000,Bathroom,By yourself,Winter,stale bread,ocean sounds
112,The Persistence of Memory,5,kinda peaceful and contemplative at the same time,4 - Agree,3 - Neutral/Unsure,4 - Agree,2 - Disagree,2,1,"0, or actually youd have to pay me to take the painting just cause i dont have space and itd be annoying to hold onto",Living room,Friends,Fall,spaghetti?,violin/piano and sort of orchestral maybe
113,The Persistence of Memory,6,Despair and a fear of wasting time,4 - Agree,1 - Strongly disagree,3 - Neutral/Unsure,4 - Agree,4,6,40,Bathroom,Strangers,Winter,bread,sad pianos and violin
114,The Persistence of Memory,7,"The clock seemed to be lifeless and limp, its colors dull, making me feel uncomfortable and absurd at the same time.",4 - Agree,1 - Strongly disagree,2 - Disagree,4 - Agree,6,5,50 bucks,Office,Strangers,Fall,bad milk,The melody is deep and the rhythm is slow.
115,The Persistence of Memory,8,"I can feel the depression depicted in the image, the tree is died and the clocks are melted.",4 - Agree,3 - Neutral/Unsure,2 - Disagree,4 - Agree,3,6,100,Bathroom,Coworkers/Classmates,Summer,Pizza.,"Intense, low tone, slow paced."
116,The Persistence of Memory,6,"Uneasy, anxious, slightly sad",4 - Agree,2 - Disagree,1 - Strongly disagree,5 - Strongly agree,4,6,10000000,"Office,Living room",By yourself,Fall,Pickles,"Slow, soft, melancholic, violin in the background, occasional unsettling spike in rhythm"
117,The Persistence of Memory,7,"a bit melancholy. The distorted clocks looks out of energy, as if time has went by too quickly.",5 - Strongly agree,2 - Disagree,3 - Neutral/Unsure,4 - Agree,5,6,0,Bathroom,"Strangers,By yourself",Spring,caramel,piano playing some slightly emotional music
118,The Persistence of Memory,6,The dark piece in the bottom right corner makes me feel insecure; it's like a black hole that is sucking everything in.,4 - Agree,2 - Disagree,2 - Disagree,5 - Strongly agree,4,5,50,Bathroom,Strangers,Fall,pizza,"clicking sound, also heard sound of a crow."
119,The Persistence of Memory,8,"It makes me feel like I am trapped in a strange place where time has stopped/distorted. The melting objects make me feel a bit dizzy and confused, as if reality is warping around me. It feels lonely.",5 - Strongly agree,1 - Strongly disagree,2 - Disagree,5 - Strongly agree,4,3,200,Bathroom,"Coworkers/Classmates,Strangers","Summer,Fall","It would be a slice of butter that has been left out in the hot sun for too long, starting to lose its shape and texture. Or maybe a very sticky caramel candy.","A slow, warping electronic synthesizer sound with a clock ticking in a irregular speed. There is a low humming noise in the background, like distant wind in an empty desert."
120,The Persistence of Memory,8,"It makes me feel reflective, sad, and hopeless.",4 - Agree,2 - Disagree,3 - Neutral/Unsure,4 - Agree,7,3,5000,"Office,Living room","Family members,By yourself",Winter,soup,the sound of rainfall drops and ticking of a mechanical gear
